time	radps
0,00336	0,00000
0,00704	0,00000
0,01019	0,00000
0,01389	0,00000
0,01685	0,00000
0,02000	0,00000
0,02289	0,00000
0,02566	0,00000
0,02848	0,00000
0,03131	0,06981
0,03408	0,00000
0,03679	0,00000
0,03962	0,00000
0,04241	0,01745
0,04524	0,27925
0,04816	0,27925
0,05129	0,27925
0,05472	0,27925
0,05776	0,27925
0,06120	0,26180
0,06424	0,27925
0,06737	0,27925
0,07053	0,27925
0,07391	0,27925
0,07690	0,27925
0,08002	0,27925
0,08354	0,26180
0,08708	0,27925
0,09050	0,33161
0,09369	0,40143
0,09674	0,36652
0,09974	0,40143
0,10294	0,33161
0,10614	0,47124
0,10917	0,54105
0,11221	0,48869
0,11574	0,61087
0,11929	0,55851
0,12262	0,55851
0,12572	0,55851
0,12872	0,61087
0,13192	0,66323
0,13502	0,73304
0,13827	0,71558
0,14145	0,71558
0,14488	0,78540
0,14836	0,75049
0,15140	0,87266
0,15482	0,75049
0,15798	0,75049
0,16098	0,83776
0,16403	0,90757
0,16714	0,83776
0,17015	0,83776
0,17330	0,94248
0,17638	0,90757
0,18003	0,92502
0,18321	0,92502
0,18661	0,97738
0,19006	0,94248
0,19335	1,04720
0,19638	1,04720
0,19944	1,11701
0,20261	1,11701
0,20560	1,06465
0,20869	1,04720
0,21219	1,09956
0,21527	1,13446
0,21836	1,18682
0,22147	1,22173
0,22466	1,25664
0,22778	1,18682
0,23081	1,25664
0,23394	1,25664
0,23695	1,29154
0,24005	1,30900
0,24313	1,25664
0,24641	1,50098
0,24999	1,29154
0,25305	1,41372
0,25640	1,37881
0,25952	1,41372
0,26255	1,36136
0,26560	1,44862
0,26878	1,51844
0,27179	1,43117
0,27482	1,44862
0,27795	1,51844
0,28141	1,55334
0,28455	1,48353
0,28777	1,51844
0,29084	1,50098
0,29393	1,51844
0,29712	1,50098
0,30025	1,62316
0,30328	1,55334
0,30674	1,57080
0,30973	1,60570
0,31337	1,64061
0,31705	1,62316
0,32036	1,64061
0,32352	1,67552
0,32670	1,76278
0,32983	1,71042
0,33299	1,76278
0,33639	1,86750
0,33940	1,76278
0,34293	1,76278
0,34616	1,86750
0,34959	1,86750
0,35287	1,88496
0,35591	1,93732
0,35909	1,95477
0,36218	1,97222
0,36541	1,95477
0,36863	1,93732
0,37176	2,02458
0,37516	1,95477
0,37857	2,05949
